{'timestamp': '2024-01-30 21:21:36', 'cpu_usage': 7.8, 'memory_usage': 64.02, 'disk_free': 729643}
{'timestamp': '2024-01-30 21:21:56', 'cpu_usage': 9.8, 'memory_usage': 63.95, 'disk_free': 729642}
{'timestamp': '2024-01-30 21:22:13', 'cpu_usage': 6.3, 'memory_usage': 64.29, 'disk_free': 730230}
{'timestamp': '2024-01-30 21:22:33', 'cpu_usage': 6.1, 'memory_usage': 64.16, 'disk_free': 730208}
{'timestamp': '2024-01-30 21:22:53', 'cpu_usage': 12.1, 'memory_usage': 64.06, 'disk_free': 730180}
{'timestamp': '2024-01-30 21:23:13', 'cpu_usage': 25.2, 'memory_usage': 64.21, 'disk_free': 730176}
{'timestamp': '2024-01-30 21:23:33', 'cpu_usage': 12.5, 'memory_usage': 63.68, 'disk_free': 730027}
{'timestamp': '2024-01-30 21:23:54', 'cpu_usage': 55.0, 'memory_usage': 60.39, 'disk_free': 729458}
{'timestamp': '2024-01-30 21:24:14', 'cpu_usage': 54.6, 'memory_usage': 56.9, 'disk_free': 728904}
{'timestamp': '2024-01-30 21:24:35', 'cpu_usage': 51.2, 'memory_usage': 56.97, 'disk_free': 728740}
{'timestamp': '2024-01-30 21:24:56', 'cpu_usage': 59.0, 'memory_usage': 53.38, 'disk_free': 728466}
{'timestamp': '2024-01-30 21:25:17', 'cpu_usage': 53.0, 'memory_usage': 52.79, 'disk_free': 728435}
{'timestamp': '2024-01-30 21:25:37', 'cpu_usage': 14.0, 'memory_usage': 53.28, 'disk_free': 727458}
{'timestamp': '2024-01-30 21:25:58', 'cpu_usage': 4.7, 'memory_usage': 53.24, 'disk_free': 727451}
{'timestamp': '2024-01-30 21:26:18', 'cpu_usage': 14.1, 'memory_usage': 53.11, 'disk_free': 727423}
{'timestamp': '2024-01-30 21:26:38', 'cpu_usage': 26.1, 'memory_usage': 53.17, 'disk_free': 727410}
{'timestamp': '2024-01-30 21:26:59', 'cpu_usage': 15.4, 'memory_usage': 53.18, 'disk_free': 727412}
{'timestamp': '2024-01-30 21:27:19', 'cpu_usage': 15.8, 'memory_usage': 53.16, 'disk_free': 727412}
{'timestamp': '2024-01-30 21:27:39', 'cpu_usage': 15.7, 'memory_usage': 53.06, 'disk_free': 727852}
{'timestamp': '2024-01-30 21:28:00', 'cpu_usage': 12.1, 'memory_usage': 53.29, 'disk_free': 727858}
{'timestamp': '2024-01-30 21:28:18', 'cpu_usage': 36.3, 'memory_usage': 54.32, 'disk_free': 729274}
{'timestamp': '2024-01-30 21:28:38', 'cpu_usage': 21.7, 'memory_usage': 54.13, 'disk_free': 729248}
{'timestamp': '2024-01-30 21:29:21', 'cpu_usage': 8.5, 'memory_usage': 54.71, 'disk_free': 729214}
{'timestamp': '2024-01-30 21:29:36', 'cpu_usage': 31.6, 'memory_usage': 54.7, 'disk_free': 729210}
{'timestamp': '2024-01-30 21:29:47', 'cpu_usage': 17.7, 'memory_usage': 54.67, 'disk_free': 729210}
{'timestamp': '2024-01-30 21:30:01', 'cpu_usage': 26.0, 'memory_usage': 53.72, 'disk_free': 729162}
{'timestamp': '2024-01-30 21:30:16', 'cpu_usage': 2.3, 'memory_usage': 62.34, 'disk_free': 728141}
{'timestamp': '2024-01-30 21:30:30', 'cpu_usage': 4.5, 'memory_usage': 62.34, 'disk_free': 728160}
{'timestamp': '2024-01-30 21:30:44', 'cpu_usage': 1.6, 'memory_usage': 63.39, 'disk_free': 729200}
{'timestamp': '2024-01-30 21:30:58', 'cpu_usage': 6.9, 'memory_usage': 63.37, 'disk_free': 729198}
{'timestamp': '2024-01-30 21:31:12', 'cpu_usage': 5.3, 'memory_usage': 63.41, 'disk_free': 728942}
{'timestamp': '2024-01-30 21:31:26', 'cpu_usage': 3.8, 'memory_usage': 63.36, 'disk_free': 728942}
{'timestamp': '2024-01-30 21:31:40', 'cpu_usage': 13.7, 'memory_usage': 62.97, 'disk_free': 728934}
{'timestamp': '2024-01-30 21:31:54', 'cpu_usage': 26.3, 'memory_usage': 62.46, 'disk_free': 728915}
{'timestamp': '2024-01-30 21:32:35', 'cpu_usage': 8.3, 'memory_usage': 63.56, 'disk_free': 728902}
{'timestamp': '2024-01-30 21:32:46', 'cpu_usage': 14.8, 'memory_usage': 63.58, 'disk_free': 728902}
{'timestamp': '2024-01-30 21:32:56', 'cpu_usage': 12.5, 'memory_usage': 63.61, 'disk_free': 728902}
{'timestamp': '2024-01-30 21:33:06', 'cpu_usage': 4.7, 'memory_usage': 63.58, 'disk_free': 728902}
{'timestamp': '2024-01-30 21:33:16', 'cpu_usage': 1.6, 'memory_usage': 63.56, 'disk_free': 728902}
{'timestamp': '2024-01-30 21:33:26', 'cpu_usage': 12.4, 'memory_usage': 63.71, 'disk_free': 728902}
{'timestamp': '2024-01-30 21:33:36', 'cpu_usage': 3.8, 'memory_usage': 63.67, 'disk_free': 728889}
{'timestamp': '2024-01-30 21:33:46', 'cpu_usage': 9.4, 'memory_usage': 63.67, 'disk_free': 728887}
{'timestamp': '2024-01-30 21:33:56', 'cpu_usage': 3.8, 'memory_usage': 63.69, 'disk_free': 728887}
{'timestamp': '2024-01-30 21:34:06', 'cpu_usage': 4.5, 'memory_usage': 63.65, 'disk_free': 728881}
{'timestamp': '2024-01-30 21:34:16', 'cpu_usage': 14.4, 'memory_usage': 63.43, 'disk_free': 728852}
{'timestamp': '2024-01-30 21:34:26', 'cpu_usage': 8.6, 'memory_usage': 63.55, 'disk_free': 728840}
{'timestamp': '2024-01-30 21:34:36', 'cpu_usage': 33.8, 'memory_usage': 63.44, 'disk_free': 728829}
