{'timestamp': '2024-01-30 23:30:18', 'cpu_usage': 3.1, 'memory_free': 66.3, 'disk_free': 736328}
{'timestamp': '2024-01-30 23:30:25', 'cpu_usage': 2.2, 'memory_free': 66.7, 'disk_free': 736329}
{'timestamp': '2024-01-30 23:30:38', 'cpu_usage': 2.3, 'memory_free': 66.6, 'disk_free': 736336}
{'timestamp': '2024-01-30 23:30:51', 'cpu_usage': 1.6, 'memory_free': 66.7, 'disk_free': 736336}
{'timestamp': '2024-01-30 23:31:04', 'cpu_usage': 1.6, 'memory_free': 66.6, 'disk_free': 736350}
{'timestamp': '2024-01-30 23:31:17', 'cpu_usage': 1.5, 'memory_free': 66.6, 'disk_free': 736350}
{'timestamp': '2024-01-30 23:31:30', 'cpu_usage': 0.0, 'memory_free': 66.6, 'disk_free': 736350}
{'timestamp': '2024-01-30 23:31:43', 'cpu_usage': 0.8, 'memory_free': 66.5, 'disk_free': 736350}
{'timestamp': '2024-01-30 23:31:56', 'cpu_usage': 0.0, 'memory_free': 66.5, 'disk_free': 736350}
{'timestamp': '2024-01-30 23:32:09', 'cpu_usage': 1.6, 'memory_free': 66.5, 'disk_free': 736350}
{'timestamp': '2024-01-30 23:32:23', 'cpu_usage': 2.3, 'memory_free': 66.5, 'disk_free': 736350}
{'timestamp': '2024-01-30 23:32:36', 'cpu_usage': 0.0, 'memory_free': 66.5, 'disk_free': 736350}
{'timestamp': '2024-01-30 23:32:49', 'cpu_usage': 1.6, 'memory_free': 66.5, 'disk_free': 736350}
{'timestamp': '2024-01-30 23:33:02', 'cpu_usage': 0.0, 'memory_free': 66.4, 'disk_free': 736350}
{'timestamp': '2024-01-30 23:33:15', 'cpu_usage': 1.6, 'memory_free': 66.4, 'disk_free': 736337}
{'timestamp': '2024-01-30 23:33:28', 'cpu_usage': 1.6, 'memory_free': 66.4, 'disk_free': 736343}
{'timestamp': '2024-01-30 23:33:41', 'cpu_usage': 0.0, 'memory_free': 66.4, 'disk_free': 736343}
{'timestamp': '2024-01-30 23:33:54', 'cpu_usage': 0.8, 'memory_free': 66.4, 'disk_free': 736343}
{'timestamp': '2024-01-30 23:34:07', 'cpu_usage': 0.0, 'memory_free': 66.4, 'disk_free': 736343}
{'timestamp': '2024-01-30 23:34:20', 'cpu_usage': 0.0, 'memory_free': 66.3, 'disk_free': 736343}
{'timestamp': '2024-01-30 23:34:33', 'cpu_usage': 2.3, 'memory_free': 66.3, 'disk_free': 736336}
{'timestamp': '2024-01-30 23:34:46', 'cpu_usage': 2.3, 'memory_free': 66.3, 'disk_free': 736336}
{'timestamp': '2024-01-30 23:34:59', 'cpu_usage': 1.6, 'memory_free': 66.3, 'disk_free': 736336}
{'timestamp': '2024-01-30 23:35:13', 'cpu_usage': 1.6, 'memory_free': 66.3, 'disk_free': 736330}
{'timestamp': '2024-01-30 23:35:26', 'cpu_usage': 1.5, 'memory_free': 66.3, 'disk_free': 736330}
{'timestamp': '2024-01-30 23:35:39', 'cpu_usage': 3.2, 'memory_free': 66.3, 'disk_free': 736324}
